x,y,p
-98996.0135659227,87375.5497794139,1.539
-95559.2839176069,54621.3040875847,1.509
-93674.6313912838,15484.9780969851,1.619
-93207.5453530805,46824.3803050878,1.507
-92663.5704101667,18755.1864038886,1.509
-91680.9812289011,35525.3711194512,1.511
-91213.6947008091,35796.1202038178,1.512
-91163.0314846293,28399.7291019263,1.499
-89705.8885797551,11954.3995856487,1.537
-89319.0685559564,12194.8446033821,1.589
-88571.1598722975,52817.3920806826,1.529
-88070.1637268864,30022.128584952,1.543
-87717.9864890911,29640.0485372292,1.543
-87633.7609314441,30499.1388750972,1.543
-87268.0429850802,102891.478895055,1.559
-86810.7620264095,44701.0104799899,1.569
-86681.5510396163,64741.1951103873,1.519
-86444.5422050309,64811.8396240478,1.509
-86383.8785459887,65668.9872341997,1.519
-86361.9733151221,64149.6962573727,1.506
-86296.4495764317,65312.3751950164,1.519
-86146.2678819352,29199.1286860414,1.469
-86112.0354861117,69118.6789756463,1.506
-86102.0368011255,64912.4060797149,1.501
-86026.4758253082,67278.8957027274,1.507
-85764.235662956,44725.714223741,1.569
-85738.6038081377,65007.3834399123,1.506
-85516.5473596117,32735.028603492,1.559
-85411.2677008986,31310.0646559228,1.559
-85356.4933372642,38635.2342045587,1.54
-85305.237445984,88288.9315973191,1.519
-85278.2029799378,45823.7333577442,1.54
-85094.5057657775,86030.9452966491,1.519
-84821.0395907382,62550.8598977394,1.504
-84767.0723821457,29998.1331435484,1.543
-84651.1217318056,37074.8292028583,1.559
-84612.1945917424,28329.6356113153,1.543
-84500.8137776305,32439.9821880413,1.543
-84491.1176015304,76354.01089036,1.499
-84481.6549346399,-15126.2830347414,1.579
-84373.5824931064,-15267.7715321755,1.579
-84330.4021130397,1789.25367621385,1.599
-84308.8059829272,32796.863165868,1.559
-84233.0472924311,-5591.27151240711,1.559
-84190.2566295557,68044.242559696,1.499
-84185.1522899083,57899.5839425612,1.519
-83908.5429272139,28544.2549629228,1.548
-83894.2327088593,28680.3671908834,1.544
-83710.4501152749,73627.3407169214,1.499
-83661.8788583371,69245.7500329386,1.493
-83369.4699122631,27769.3295753654,1.569
-83133.424481315,52458.5574902712,1.569
-83120.2974544467,70340.6506493149,1.497
-83063.7452179781,65895.442423703,1.493
-82892.7276215586,67319.9949624959,1.493
-82859.8174626597,90411.5248115842,1.498
